name,rating,user_ratings_total
Dierbergs Markets - Mackenzie Pointe,4.3,2313.0
Einstein Bros. Bagels,4.1,232.0
LaChef Catering - St. Louis Catering,4.3,11.0
Hank's Cheesecakes,4.5,180.0
Living Room Coffee & Kitchen,4.6,535.0
"Prioritized Pastries, LLC",4.4,55.0
Cloud 7 Sweets,5.0,1.0
Walmart Bakery,1.0,1.0
Dunkin',3.6,9.0
Vanilla Sugar Bake Shoppe,,
Amy's Cake Pop Shop and Boozy Bites,5.0,83.0
Cake Pops By Liz,,
The Annex Coffee and Foods,4.7,212.0
Einstein Bros. Bagels,4.1,222.0
Dierbergs Bakery,4.5,4.0
Buffalo Bakery,,
Walmart Supercenter,3.7,8492.0
The Cheesecake Factory,4.1,5540.0
Sam's Club,4.1,1265.0
St. Louis Bread Co.,3.7,735.0
Winslow's Table,4.4,945.0
Dierbergs Bakery,3.8,13.0
Dierbergs Markets - Brentwood Pointe,4.5,2494.0
St. Louis Bread Co.,3.7,1293.0
Great American Cookies,3.8,46.0
Coma Coffee Roasters,4.3,506.0
Cinnabon,3.7,91.0
St. Louis Bread Co.,4.1,424.0
Dunkin',3.5,498.0
Jilly's Cupcake Bar & Café,4.5,1200.0
COLLEEN'S,4.5,431.0
Hank's Cheesecakes,4.5,180.0
Einstein Bros. Bagels,4.1,222.0
Auntie Anne's,4.0,163.0
Auntie Anne's,2.6,14.0
The Bakery Shoppe,,
Cake II,,
Hot Box Cookies,4.0,241.0
Happy Donuts Express Asian Food,,
Buffalo Bakery,,
Walmart Bakery,1.0,1.0
Winslow's Table,4.4,945.0
Schnucks Bakery,4.1,39.0
Insomnia Cookies,4.0,481.0
Ben & Jerry’s,3.9,271.0
COLLEEN'S,4.5,431.0
Base More TREATS !!!,5.0,2.0
Happy Donuts Express Asian Food,,
Hot Box Cookies,4.0,241.0
Schnucks Bakery,4.1,39.0
Schnucks Bakery,3.3,16.0
Butter & Eggs Southern Desserts,4.0,2.0
LaJoy's Coffee Cafe,4.7,148.0
Heather's Cookies and Bars LLC,,
JMC DONUTS,4.7,282.0
Bakers Pride - Wholesale Bakery,4.3,13.0
Heather's Cookies and Bars LLC,,
Judy's sweet shop & more,3.0,2.0
Dunkin',2.0,11.0
JMC DONUTS,4.7,282.0
The Donut Stop,4.8,688.0
A & M Bakery,4.9,15.0
Donut House dcj,4.5,190.0
Busy B's Bakery LLC,5.0,8.0
Savanna's Sweets,,
Creative Sweet Treats,3.2,49.0
Federhofer's Bakery,4.7,933.0
Tamara Ryffel,,
Bridge Bread Bakery,,
Russell's on Macklind,4.7,1274.0
Donut Drive In,4.7,1402.0
St. Louis Bread Co.,4.0,1227.0
Dierbergs Markets - Mackenzie Pointe,4.3,2313.0
Walmart Supercenter,3.7,5528.0
Knead Bakehouse + Provisions,4.7,306.0
St. Louis Hills Donut Shop,4.7,180.0
Dierbergs Bakery,4.5,4.0
Federhofer's Bakery,4.7,933.0
Eddie's Southtown Donuts,4.7,248.0
Caked Up By Dee,5.0,5.0
Cake Snob,3.9,39.0
Bread & Butter STL,5.0,1.0
Cupcake Cartel,5.0,15.0
Creative Sweet Treats,3.2,49.0
Basic Bakery,5.0,8.0
Sedara Sweets & Ice Cream,4.8,329.0
Walmart Bakery,,
Cake Pops By Liz,,
Bridge Bread Bakery,,
Pint Size Bakery & Coffee,4.7,350.0
World's Fair Donuts,4.4,901.0
Cakery,4.8,214.0
Missouri Baking Co,4.8,1076.0
Knead Bakehouse + Provisions,4.7,306.0
Sugaree Baking Company,4.6,152.0
Vitale's Bakery,4.7,113.0
Fazio's Bakery,3.9,35.0
O'Fashion Donuts Inc,4.4,109.0
Marconi Bakery,4.7,41.0
Pete's Italian Baking Company,5.0,19.0
Upper Crust Bread,4.9,16.0
Cupcake Cartel,5.0,15.0
Winslow's Table,4.4,945.0
Sugaree Baking Company,4.6,152.0
Cakery,4.8,214.0
St. Louis Bread Co.,3.7,1293.0
Insomnia Cookies,4.0,481.0
Hank's Cheesecakes,4.5,180.0
Cham Bakery,4.1,74.0
Comet Coffee,4.7,681.0
Einstein Bros. Bagels,4.1,222.0
COLLEEN'S,4.5,431.0
Ben & Jerry’s,3.9,271.0
Cake Fusion – Decorated Cupcake & Cake Party,5.0,10.0
Alibi Cookies,4.8,106.0
The Baked Bear,4.5,615.0
Cates Ave Bakery,,
Happy Donuts Express Asian Food,,
Insomnia Cookies,4.0,481.0
Country Girl's Pie Shop,4.4,378.0
B8ked Stl,,
Cates Ave Bakery,,
Ben & Jerry’s,3.9,271.0
Tamika Bakery,,
The Baked Bear,4.5,615.0
Cake Fusion – Decorated Cupcake & Cake Party,5.0,10.0
"Abeela Jetton' ""Sweets to Remember""",5.0,8.0
Einstein Bros. Bagels,3.1,37.0
JMC DONUTS,4.7,282.0
Bakers Pride - Wholesale Bakery,4.3,13.0
Treat Heaven Stl,,
Tamara Ryffel,,
Savanna's Sweets,,
Russell's on Macklind,4.7,1274.0
Eddie's Southtown Donuts,4.7,248.0
Golden Grains Bakery,4.9,10.0
Zlatne Kapi LLC,4.8,150.0
Joseph Bakery and Market,4.6,18.0
Zlatno Zito Bakery and Deli,4.7,294.0
Sana Bakery,4.8,52.0
Bridge Bread Bakery,,
ALSALAM GROCERY & BAKERY,4.1,44.0
Basic Bakery,5.0,8.0
Afghan bread house,4.0,8.0
Shay's donuts and coffee,4.5,49.0
Dad's Cookie Company,4.7,372.0
Upper Crust Bread,4.9,16.0
SweetArt,4.7,1213.0
World's Fair Donuts,4.4,901.0
The Gelateria Coffee Company,4.6,676.0
Ruler Foods,4.3,614.0
Wei Hong Bakery,4.3,308.0
Diana's Bakery,4.6,593.0
Ladybug Sweets and Treats LLC,5.0,1.0
Hot Box Cookies,3.6,176.0
The Fifth Wheel Catering,4.2,5.0
Abundance Bakery,5.0,2.0
Laughing Bear Bakery,4.7,14.0
Peculiar Penguin,,
La Pâtisserie Chouquette,4.7,528.0
Union Loafers Café and Bread Bakery,4.7,1050.0
De'Lish Emporium,4.7,13.0
Dianas Bakery,,
Lilly's Panaderia,4.7,69.0
Rosy Bakery & Candy,5.0,4.0
Cherokee,,
The Cup,4.7,492.0
Taste Of Lebanon,4.1,568.0
Hot Box Cookies,4.2,316.0
Insomnia Cookies,4.2,375.0
Vincent Van Doughnut,4.6,589.0
Cake Fusion – Decorated Cupcake & Cake Party,5.0,10.0
Serendipity Homemade Ice Cream,4.6,548.0
Comet Coffee,4.7,681.0
St. Louis Bread Co.,3.4,50.0
Pharaoh’s Donuts,4.6,125.0
Macs by Belle,3.0,2.0
Cakes by Design,,
Fox River Dairy,5.0,5.0
Country Girl's Pie Shop,4.4,378.0
Yummy Sweetcakes,5.0,16.0
Better Bakery,5.0,3.0
Greenland,,
Tamika Bakery,,
"Abeela Jetton' ""Sweets to Remember""",5.0,8.0
B8ked Stl,,
Cakes by Design,,
Venus Baby's Cupcakes & More,,
The Edible Gourmet,5.0,1.0
Goo Goo Mom's Bakery,5.0,11.0
Ruler Foods,4.3,349.0
Goo Goo Mom's Bakery,5.0,11.0
The Edible Gourmet,5.0,1.0
Cake-A-Bilities,,
Crystal's Baked Goodies,5.0,3.0
Venus Baby's Cupcakes & More,,
Flowers Baking Co,4.8,4.0
Gus' Pretzel Shop,4.8,2007.0
Whisk: a Sustainable Bakeshop,4.7,235.0
Dad's Cookie Company,4.7,372.0
Diana's Bakery,4.6,593.0
El Chico Bakery Inc,4.9,53.0
The Ohio House,5.0,2.0
Shay's donuts and coffee,4.5,49.0
Bridge Bread Bakery,4.8,139.0
Cherokee,,
Rosy Bakery & Candy,5.0,4.0
Lilly's Panaderia,4.7,69.0
Dianas Bakery,,
ALSALAM GROCERY & BAKERY,4.1,44.0
De'Lish Emporium,4.7,13.0
Abundance Bakery,5.0,2.0
Jaudes Cakes,,
Gus' Pretzel Shop,4.8,2007.0
John's Donuts,4.8,679.0
St. Louis Bread Co.,3.9,674.0
Insomnia Cookies,4.2,671.0
Whisk: a Sustainable Bakeshop,4.7,235.0
Au Bon Pain,3.4,8.0
Mauki's Bakery & Country Store,4.8,164.0
Baked & Boiled Bagels,4.8,12.0
Sur Sabor,5.0,2.0
Jaudes Cakes,,
Cake Hill,,
De'Lish Emporium,4.7,13.0
Union Station Cookies and Cupcakes,4.3,4.0
Pharaohs Donuts,4.7,1177.0
The Market at St. Louis Union Station Hotel,4.5,6.0
The Fifth Wheel Catering,4.2,5.0
De la Creme Creative Studio,4.5,6.0
Bridge Bread Bakery,4.8,139.0
El Chico Bakery Inc,4.9,53.0
Fox River Dairy,5.0,5.0
Baby Kakez,4.8,21.0
St. Louis Bread Co.,4.1,132.0
Einstein Bros. Bagels,3.4,32.0
Insomnia Cookies,4.2,671.0
Fresh Thyme Market,4.4,233.0
Patty's Cheesecakes,4.8,73.0
Cakes by Design,,
De la Creme Creative Studio,4.5,6.0
The Market at St. Louis Union Station Hotel,4.5,6.0
Union Station Cookies and Cupcakes,4.3,4.0
Macs by Belle,3.0,2.0
GreenLeaf Market,4.3,368.0
"Dough Joe's Artisan Doughnuts, Bagels & Coffee",5.0,3.0
The Fifth Wheel Catering,4.2,5.0
"Dough Joe's Artisan Doughnuts, Bagels & Coffee",5.0,3.0
Crystal's Baked Goodies,5.0,3.0
Venus Baby's Cupcakes & More,,
Greenland,,
Ruler Foods,4.3,349.0
Crystal's Baked Goodies,5.0,3.0
Imperfectly Perfect Homemade Cakes LLC,5.0,39.0
Au Bon Pain,3.4,8.0
Insomnia Cookies,4.2,671.0
GreenLeaf Market,4.3,368.0
Pharaohs Donuts,4.7,1177.0
"Dough Joe's Artisan Doughnuts, Bagels & Coffee",5.0,3.0
Cake Hill,,
De la Creme Creative Studio,4.5,6.0
The Market at St. Louis Union Station Hotel,4.5,6.0
Union Station Cookies and Cupcakes,4.3,4.0
Walmart Supercenter,3.8,4344.0
Walmart Bakery,3.0,1.0
Sweet Treats from the Hart,4.4,32.0
