name,rating,user_ratings_total
Starbucks,4.5,237.0
Circle K,2.3,20.0
La Cosecha Coffee Roasters,4.8,175.0
Great Harvest Bread Co,4.7,93.0
Circle K,3.5,39.0
Dunkin',3.5,498.0
Circle K,3.4,22.0
Starbucks,3.5,24.0
On The Run,4.2,6.0
St. Louis Bread Co.,4.0,1227.0
St. Louis Bread Co.,3.7,1293.0
Einstein Bros. Bagels,4.1,232.0
East Academic Building - Café,5.0,4.0
On The Run,3.4,39.0
Colombo's Cafe & Tavern,4.4,131.0
Circle K,3.7,32.0
Mauhaus Cat Cafe,4.8,1780.0
Living Room Coffee & Kitchen,4.6,535.0
Looking Meadow Cafe,4.9,17.0
Mississippi Mud Coffee,5.0,1.0
Maypop Coffee & Garden Shop,4.8,444.0
Sam's Club Cafe,5.0,2.0
Dunkin',3.6,9.0
Boardwalk Cafe,4.5,510.0
Starbucks,4.3,456.0
The Annex Coffee and Foods,4.7,212.0
Starbucks,3.8,64.0
Einstein Bros. Bagels,4.1,222.0
Honey Bee Tea - Brentwood,4.8,339.0
Blueprint Coffee,4.6,336.0
Barnes & Noble,4.5,954.0
City Coffee & Creperie,4.6,1100.0
Kaldi's Coffee,4.5,290.0
Half & Half,4.3,1092.0
McDonald's,3.3,2198.0
St. Louis Bread Co.,3.7,735.0
Winslow's Table,4.4,945.0
Starbucks,4.3,383.0
Starbucks,4.3,485.0
St. Louis Bread Co.,3.7,1293.0
Cafe Cornucopia,4.1,11.0
Coma Coffee Roasters,4.3,506.0
St. Louis Bread Co.,4.1,424.0
Nordstrom Ebar Artisan Coffee,4.2,14.0
Cafe Bistro,4.4,54.0
Starbucks,3.5,24.0
Circle K,3.4,22.0
Cursed Bikes & Coffee,4.8,107.0
Dunkin',3.5,498.0
On The Run,4.2,6.0
Starbucks,4.2,524.0
Circle @ Crown Cafe,4.7,21.0
Jilly's Cupcake Bar & Café,4.5,1200.0
Cafe Breve,4.4,30.0
COLLEEN'S,4.5,431.0
Starbucks,3.8,64.0
Einstein Bros. Bagels,4.1,222.0
Crown Center For Senior Living,4.8,5.0
Metro Java Coffee House,4.7,3.0
Bubble Tea House,3.8,149.0
Macy's Cafe,4.0,4.0
St Louis Union Labor Guide,,
Avenue Restaurant,4.4,294.0
Ivy Cafe,4.7,159.0
Manifest Juice and Broth,4.6,25.0
Honey Bee Tea - Brentwood,4.8,339.0
TruFusion STL,4.9,50.0
BerryBox Superfood Bar,5.0,8.0
Starbucks,4.3,456.0
Starbucks INSIDE Barnes and Noble,,
Sam's Club Cafe,5.0,2.0
Cherry Tree Café,,
Johann Hinrich Benidt Seminary Center,4.0,1.0
Winslow's Table,4.4,945.0
Starbucks,4.1,513.0
City Coffee & Creperie,4.6,1100.0
Kaldi's Coffee,4.5,290.0
McDonald's,3.6,1083.0
Half & Half,4.3,1092.0
Starbucks,4.3,383.0
Circle K,1.9,26.0
Starbucks,4.2,524.0
Cursed Bikes & Coffee,4.8,107.0
