name,rating,user_ratings_total
Everbowl - Ladue,4.6,58.0
NASCAR Wings,,
Pardon My Cheesesteak,1.7,11.0
A'mis Pizza,4.5,484.0
Chuck's Hot Chicken,4.6,90.0
Himalayan Hut Restaurant (Authentic Indian & Nepali Food),4.2,327.0
Chef's Express at Schnucks,3.3,7.0
Neon Banana,4.4,18.0
Provinces,4.4,113.0
Picadeli,,
Kreis' Steakhouse & Bar,4.5,1172.0
Fleming’s Prime Steakhouse & Wine Bar,4.6,996.0
Starbucks,4.2,460.0
BrickTop's,4.5,1085.0
Lester's,4.4,999.0
Brio Italian Grille,4.1,1583.0
Sugo's Spaghetteria,4.4,435.0
Canyon Cafe,4.3,690.0
Shack Breakfast & Lunch,4.6,1524.0
Sportsmans Park Restaurant & Bar,4.5,478.0
Grassi's Ristorante & Deli,4.7,628.0
Mariposa,4.7,30.0
Zodiac,5.0,2.0
Chef's Express at Schnucks,3.3,7.0
Provinces,4.4,113.0
NASCAR Wings,,
Pardon My Cheesesteak,1.7,11.0
Picadeli,,
Neon Banana,4.4,18.0
Everbowl - Ladue,4.6,58.0
Uncle Julio's Frontenac,3.8,786.0
801 Local,4.4,126.0
569Dine,,
Maull's Barbecue Sauce,,
Olivette Lanes,4.5,1173.0
St. Louis Bread Co.,4.2,768.0
Noodles and Company,4.1,747.0
Subway,3.5,130.0
Starbucks,4.1,946.0
Pizza Hut,3.7,266.0
California Pizza Kitchen at Creve Coeur,4.1,722.0
Olivette Diner,4.6,883.0
Pei Wei Asian Kitchen,4.2,863.0
Domino's Pizza,3.5,181.0
Thai Nivas Cafe,4.3,450.0
Ms Piggies' Smokehouse,4.4,731.0
Einstein Bros Bagels,4.0,2.0
Chipotle Mexican Grill,3.4,978.0
O! Wing Plus,4.5,486.0
Kohn's Kosher Meat and Deli Restaurant,4.6,333.0
Taco Bell,3.5,1068.0
Subway,4.1,183.0
St. Louis Kolache,4.5,518.0
"The Caramel House, Saint Louis, Missouri",4.7,58.0
Icon Grills,,
Subway,4.1,125.0
On The Run,2.7,20.0
FroYo Frozen Yogurt- Olive,4.4,352.0
Pizza Hut,3.3,461.0
KFC,3.2,1030.0
Sonic Drive-In,2.9,1262.0
Nudo House Creve Coeur,4.6,1555.0
Wendy's,3.7,929.0
I Love Mr Sushi,4.4,500.0
Taqueria Durango,4.4,1079.0
McDonald's,3.7,1151.0
Imo's Pizza,3.9,263.0
Imo's Pizza,3.8,368.0
Crazy Bowls & Wraps - Curbside Pickup Available!,4.3,140.0
McDonald's,3.5,1196.0
Arby's,3.9,680.0
Panda Express,3.5,402.0
Seoul Garden,4.0,746.0
The Brothers Beer & Bourbon House Creve Coeur,4.6,26.0
Freddy's Frozen Custard & Steakburgers,4.4,1588.0
Olivette Station,5.0,7.0
Hj's Cafe,5.0,1.0
Tai Ke Shabu Shabu,4.6,856.0
The Kickin' Crab,4.2,361.0
Ruiz McDonald's,2.2,17.0
Rally's,3.4,1143.0
QuikTrip,3.3,49.0
Bbq,,
El Guanaco Taqueria & Pupuseria.,4.3,227.0
Popeyes Louisiana Kitchen,2.8,1124.0
Touch Down Wings,4.2,130.0
St. Louis Halal Meat,4.2,148.0
Dunkin',3.6,456.0
Las Palmas Mexican Restaurant,4.0,458.0
Fire Chicken,4.6,233.0
Suwallers Bar & Grill,4.7,980.0
Waffle House,4.1,256.0
Everbowl - Creve Coeur,4.8,25.0
Lulu Chinese Express,3.7,15.0
Syberg's Dorsett,4.4,4298.0
Drunken Fish - Westport Plaza,4.1,1108.0
Hooters,3.7,1788.0
India Palace,4.0,1482.0
Starbucks,4.3,538.0
Trainwreck Saloon Westport,4.2,1773.0
Kobe Steakhouse of Japan,4.3,1957.0
Subway,4.2,183.0
Spazio Westport,4.2,244.0
Subway,3.8,210.0
White Castle,3.8,1718.0
Wok Express,4.0,592.0
McDonald's,3.3,1011.0
Cecil Whittaker's Pizzeria,3.8,249.0
Subway,3.6,99.0
Denny's,3.9,1647.0
Papa Johns Pizza,3.4,318.0
Waffle House,4.2,1241.0
Midas Hospitality,4.5,21.0
"Bandana's Bar-B-Q Maryland Heights,",4.3,1307.0
St. Louis Bread Co.,4.0,807.0
QuikTrip,4.1,166.0
Starbucks,4.3,604.0
QDOBA Mexican Eats,3.9,546.0
Snarf's Sandwiches Maryland Heights,4.3,566.0
Off The Grill,3.8,321.0
The Bistro – Eat. Drink. Connect.®,3.5,2.0
Six Mile Bridge Brewery,4.6,316.0
Circle K,3.5,51.0
Fuzzy's Taco Shop,4.1,2171.0
O'Fallon Brewery,4.2,493.0
Westport Social,4.5,2954.0
Firehouse Subs Dorsett,4.4,617.0
Swagruha Indian Cuisine,3.6,675.0
Priyaa Indian Cuisine,3.8,429.0
Taco Bell,3.8,1155.0
Denny's,4.0,2276.0
Vivola Express,4.9,665.0
Scotti's Deli and Catering,4.7,98.0
Jimmy John's,3.6,246.0
Penn Station East Coast Subs,4.2,366.0
St. Louis Kolache,4.5,518.0
QuikTrip,3.6,51.0
Top Sushi,4.8,233.0
LA Taco Cantina,4.1,725.0
Chuck's Hot Chicken,4.4,482.0
Filipino Bakery Cafe & Market,4.8,165.0
Tony’s Donuts & Cafe,4.4,50.0
Broadway Restaurant Group,3.7,15.0
America's Diner,4.3,7.0
Wendy's,3.7,929.0
King Burrito,4.4,738.0
DD Mau Vietnamese Eatery,4.7,996.0
Jovick Brothers Deli,4.8,133.0
QuikTrip,3.3,49.0
La Tejana Taqueria,4.5,962.0
Suwallers Bar & Grill,4.7,980.0
El Carlitos Mexican Restaurant,4.7,86.0
Imo's Pizza,3.8,368.0
Hj's Cafe,5.0,1.0
Subway,3.6,141.0
Papa Johns Pizza,3.4,277.0
Red Lobster,3.9,2947.0
Penn Station East Coast Subs,4.0,401.0
Hotshots Sports Bar & Grill,4.0,1102.0
Kingpin Lanes & Brickhouse Pizza Company,4.5,623.0
Subway,3.7,245.0
Circle K,2.7,21.0
IHOP,4.1,2277.0
Foley's Fun and Drink,4.4,83.0
Popeyes Louisiana Kitchen,3.1,1515.0
Bridgeton,4.2,3565.0
Raising Cane's Chicken Fingers,4.2,1192.0
Circle K,3.5,52.0
Applebee's Grill + Bar,3.8,1388.0
Massa's Bridgeton,4.5,699.0
Final Destination Bar & Cafe,4.4,192.0
Dunkin',3.7,392.0
Acapulco Restaurant,4.1,676.0
Omar's Grill,4.1,703.0
Dairy Queen,4.2,934.0
US Food and Liquor,4.3,41.0
Captain D's,3.6,894.0
Chipotle Mexican Grill,3.8,1175.0
Wendy's,3.8,905.0
Imo's Pizza,4.3,555.0
Jack in the Box,3.1,1049.0
BS Bar & Grill,4.4,246.0
Steak 'n Shake,3.3,1375.0
Lee's Famous Recipe Chicken,3.9,889.0
China House,4.0,292.0
McDonald's,3.3,2339.0
Domino's Pizza,3.9,386.0
Lion's Choice,4.2,961.0
St. Louis Bread Co.,3.9,721.0
Sunrise Family Restaurant,4.1,973.0
QuikTrip,3.8,46.0
Burger King,3.5,1133.0
Imo's Pizza,3.8,563.0
Quik Wok,4.2,295.0
La Tejana Taqueria,4.5,962.0
Starbucks,4.2,871.0
Panda Chinese Restaurant,4.3,449.0
White Castle,3.6,1883.0
QuikTrip,3.5,50.0
Freddy's Frozen Custard & Steakburgers,3.9,707.0
PANDA,,
Panda Express,3.5,824.0
First Watch,4.5,1317.0
Jersey Mike's St. Ann,4.1,286.0
Cajun Seduction,4.5,70.0
Picadeli,,
Sabroso Cocina Mexicana,4.7,303.0
O'Hagen's Irish Pub,2.3,10.0
Bar Code & Grill,4.5,419.0
Taqueria El Chilango,4.5,111.0
Sulaiman's Cafe,4.9,133.0
Maaji's Street Kitchen,4.9,204.0
Rally's,4.1,418.0
Waffle House,4.1,471.0
Subway,3.2,96.0
St. Louis' Incredible Pizza Company,4.0,3891.0
Outback Steakhouse,4.1,2964.0
Sam's Steakhouse,4.4,968.0
Subway,4.0,82.0
Olive Garden Italian Restaurant,,
TGI Fridays,4.0,1455.0
Roberto's Trattoria,4.7,414.0
The Concord Grill,4.5,1310.0
Shogun Japanese Steakhouse Of South County,4.2,1337.0
ZEN Thai & Japanese Cuisine,4.6,979.0
Jersey Mike's Subs,4.2,547.0
Jimmy John's,3.9,102.0
54th Street Scratch Grill & Bar,4.0,1311.0
King Edwards,4.6,1339.0
Steak 'n Shake,3.4,1511.0
Joe Boccardi's,4.3,585.0
P'Sghetti's Pasta & Sandwiches,4.6,1134.0
Subway,3.3,85.0
Imo's Pizza,4.2,272.0
Applebee's Grill + Bar,4.1,1250.0
St. Louis Bread Co.,4.0,554.0
Hokkaido Seafood Buffet and Grill,4.0,2859.0
Waffle House,4.2,829.0
Circle K,3.2,23.0
Uncle Leo's Pizza,4.6,366.0
Joey B's Food & Drink Concord,4.3,1761.0
Bandana's Bar-B-Q Sunset Hills,4.4,1071.0
Starbucks,4.3,361.0
Domino's Pizza,3.8,158.0
The Barn,4.5,968.0
Starbucks,4.4,677.0
China King,3.9,133.0
Schottzie's Bar & Grill,4.3,874.0
San Jose Mexican Restaurant,4.5,1135.0
Soco's Gyros,4.7,577.0
Cold Stone Creamery,4.2,311.0
Holy Grounds Cafe,,
Trattoria Toscana,4.5,541.0
Hsu's Hunan Yu,4.5,88.0
Miss Sheri's Cafeteria,4.3,411.0
"Oh Hey, Barbecue",4.6,5.0
Seoul Taco,4.4,8.0
Picadeli,,
Yolklore,4.6,785.0
Sunset Conoco and Deli,,
Tami’s Dugout,4.1,61.0
Three Kings Public House,4.4,1344.0
Zaffiro's Express,,
Fitz's SoCo,4.4,1844.0
Dave's Diner,4.4,604.0
Apps all around,,
J's Pitaria,4.7,535.0
Freddy's Frozen Custard & Steakburgers,4.2,933.0
Taco Bell,3.2,165.0
Jersey Mike's Subs,3.0,2.0
Caracas,,
Glaciers Snow Cones Under The Sun Sno Shack,4.4,75.0
Picadeli,,
El Maguey Mexican Restaurant,4.4,648.0
Citizen Kane's Steak House,4.7,665.0
Bar Louie - Kirkwood,4.5,2468.0
Texas Roadhouse,4.3,3567.0
Billy G's Kirkwood,4.5,2803.0
Amigos Cantina,4.3,793.0
Subway,4.0,102.0
Imo's Pizza,4.3,340.0
Robust Bistro & Wine Bar,4.4,347.0
One 19 North Tapas Wine Bar,4.5,375.0
The Block Restaurant Webster Groves,4.5,204.0
Dewey's Pizza,4.7,1227.0
Chipotle Mexican Grill,3.2,1256.0
Mike Duffy's Pub & Grill Kirkwood,4.3,791.0
Rich & Charlie's Crestwood,4.4,1134.0
ZEN Thai & Japanese Cuisine,4.6,979.0
St. Louis Bread Co.,4.0,298.0
Buffalo Wild Wings,4.0,1035.0
First Watch,4.5,886.0
Great Harvest Bread Co. Kirkwood,4.7,213.0
Domino's Pizza,3.3,156.0
Jersey Mike's Subs,4.2,547.0
Steak 'n Shake,3.4,1511.0
King Edwards,4.6,1339.0
Oberweis Ice Cream and Dairy Store,4.7,537.0
Joe Boccardi's,4.3,585.0
Sonic Drive-In,3.8,970.0
Dunkin',3.2,352.0
The Barn,4.5,968.0
Chili's Grill & Bar,4.1,1210.0
Crushed Red- Kirkwood,4.3,681.0
Racanelli’s New York Pizzeria,4.0,370.0
Jimmy John's,3.6,121.0
MOD Pizza,4.5,750.0
Strange Donuts,4.2,282.0
Andy's Frozen Custard,4.6,1120.0
Sapore Italian Cafe,4.5,162.0
Smoothie King,3.7,100.0
