name,rating,user_ratings_total
By-Ron Entertainment,4.5,4.0
Rhonda's,3.7,49.0
Sanbar Tavern,4.0,11.0
Stanley's Cup and Grill,4.7,52.0
Office,4.3,170.0
Old Timers Saloon,4.3,150.0
OT's Bar,4.2,54.0
Three of A Kind Bar & Grill,4.4,589.0
Juicy's,4.6,16.0
USO Missouri,4.7,540.0
Underground Burger Bar,3.6,105.0
Chili's Grill & Bar,3.4,1307.0
American Airlines Admirals Club,4.5,469.0
Foley's Fun and Drink,4.4,83.0
Final Destination Bar & Cafe,4.4,192.0
Applebee's Grill + Bar,3.9,1367.0
BS Bar & Grill,4.4,246.0
The Waiting Room,4.7,165.0
Three Kings Public House,3.8,398.0
Wingtips Lounge,2.8,193.0
St. Louis Brewmasters Tap Room,3.5,93.0
Schlafly Beer Bar & Grill - STL Terminal C,2.9,55.0
VINO VOLO,4.1,157.0
Beers of the World,2.6,44.0
Mike Shannon's,3.5,298.0
Office,4.3,170.0
T J's Ali-By Inn,4.4,49.0
OT's Bar,4.2,54.0
Old Timers Saloon,4.3,150.0
Bar Code & Grill,4.5,419.0
La Herradura De Baule,4.5,33.0
Syberg's Gravois,4.5,1817.0
Weber's 8713 Grill & Tap,4.4,501.0
The Clubhouse Bar & Grill,4.4,391.0
Ambrosia Restaurant & Bar,4.3,83.0
The Canteen @ 9 Mile Garden,3.9,14.0
Barrel Blends Wine and Spirits Affton,4.9,166.0
River City Pub,4.4,166.0
Busch On Tap,,
CT Magoc's,4.5,56.0
Cyrano's Cafe,4.5,898.0
Big Sky Cafe,4.6,521.0
The Block Restaurant Webster Groves,4.5,204.0
Weber's Front Row,4.2,593.0
Robust Bistro & Wine Bar,4.4,347.0
Llywelyn's Pub,4.3,1243.0
WOW Café,3.7,11.0
Vino Teca Inc,4.0,1.0
HotShots Sports Bar & Grill,4.0,709.0
The Clover and the Bee,4.6,614.0
Pinot's Palette (Webster Groves),4.8,166.0
Hwy 61 Roadhouse,4.6,821.0
Frisco Barroom,4.4,806.0
Robbie's House of Jazz,4.5,4.0
Perennial on Lockwood,4.6,252.0
Olive + Oak,4.7,1198.0
Buffalo Wild Wings,3.5,2033.0
The Post Sports Bar & Grill - Maplewood,4.4,1165.0
Boogaloo,4.3,1140.0
Farmhaus Restaurant,4.7,348.0
Olympia Kebob House and Taverna,4.4,1753.0
Cyrano's Cafe,4.5,898.0
