startTime,endTime,type
390,466,'code'
1632,2095,'code'
2453,2503,'code'
2734,2734,'code'
3025,3570,'code'
4760,4827,'code'
5165,6009,'code'
6535,6646,'code'
7378,7720,'code'
9023,9182,'code'
9424,9536,'code'
10314,10425,'code'
10755,10945,'code'
11919,12128,'code'
13003,13084,'code'
14009,14083,'code'
