seed,startTime,endTime
'gap',0,1365
'gap',1555,1951
'gap',2142,2169
'gap',2446,2707
'gap',4468,4746
'gap',4760,6195
'gap',6629,9842
'gap',10405,10791
'gap',12572,13433
'gap',13454,14557
'gap',15825,17789
'gap',20988,26304
