startTime,endTime,type
1343,1913,'code'
2776,3188,'code'
3526,3659,'code'
4586,5409,'code'
6657,7548,'code'
8198,9164,'code'
9530,9840,'code'
10215,11650,'code'
12348,12374,'code'
12423,12671,'code'
12900,13823,'code'
14071,14117,'code'
14194,14311,'code'
14637,16023,'code'
16112,16270,'code'
17199,18292,'code'
21437,22205,'code'
26345,27066,'code'
27128,27322,'code'
27128,29185,'code'
